n_jobs,n_machines,model_building_time,model_solving_time
1,1,0.002029895782470703,0.0009984970092773438
1,2,0.0,0.0
1,3,0.0009999275207519531,0.0
1,4,0.0009713172912597656,0.0
1,5,0.0,0.0009975433349609375
1,6,0.001001119613647461,0.0
1,7,0.0009984970092773438,0.0
1,8,0.0010001659393310547,0.0
2,1,0.0,0.002001047134399414
2,2,0.0,0.001999378204345703
2,3,0.0009999275207519531,0.0010004043579101562
2,4,0.0010006427764892578,0.0009984970092773438
2,5,0.0010001659393310547,0.001001119613647461
2,6,0.0009992122650146484,0.002000093460083008
2,7,0.0009999275207519531,0.0009999275207519531
2,8,0.0009999275207519531,0.002000570297241211
3,1,0.0009999275207519531,0.0020008087158203125
3,2,0.0009999275207519531,0.0029985904693603516
3,3,0.0010008811950683594,0.002998828887939453
3,4,0.0009999275207519531,0.003000020980834961
3,5,0.0009992122650146484,0.003000497817993164
3,6,0.0010004043579101562,0.0030002593994140625
3,7,0.0009989738464355469,0.002001523971557617
3,8,0.0019998550415039062,0.002002239227294922
4,1,0.0009925365447998047,0.0030024051666259766
4,2,0.0009992122650146484,0.003998517990112305
4,3,0.0010013580322265625,0.00400233268737793
4,4,0.002002716064453125,0.003999471664428711
4,5,0.0020062923431396484,0.0029647350311279297
4,6,0.001967906951904297,0.004029512405395508
4,7,0.002028942108154297,0.006000041961669922
4,8,0.0019998550415039062,0.004999637603759766
5,1,0.0009987354278564453,0.01697063446044922
5,2,0.0010287761688232422,0.006003379821777344
5,3,0.001999378204345703,0.006000518798828125
5,4,0.0019965171813964844,0.006971597671508789
5,5,0.0030286312103271484,0.008970499038696289
5,6,0.003028392791748047,0.010999917984008789
5,7,0.003997087478637695,0.011003732681274414
5,8,0.003967761993408203,0.009030342102050781
6,1,0.0010304450988769531,0.023967981338500977
6,2,0.0020301342010498047,0.017969608306884766
6,3,0.001967906951904297,0.02702808380126953
6,4,0.0029921531677246094,0.022972822189331055
6,5,0.0029799938201904297,0.020972728729248047
6,6,0.003999233245849609,0.01899862289428711
6,7,0.005027294158935547,0.028000831604003906
6,8,0.004999876022338867,0.03596925735473633
7,1,0.002000093460083008,0.05900096893310547
7,2,0.001999378204345703,0.051998138427734375
7,3,0.0030295848846435547,0.06296825408935547
7,4,0.004026651382446289,0.06296896934509277
7,5,0.005032777786254883,0.07496523857116699
7,6,0.0049974918365478516,0.06999897956848145
7,7,0.006083011627197266,0.08939337730407715
7,8,0.006028413772583008,0.053971052169799805
8,1,0.0020322799682617188,0.10596537590026855
8,2,0.002999544143676758,0.10596847534179688
8,3,0.0029990673065185547,0.08700156211853027
8,4,0.005027294158935547,0.09296870231628418
8,5,0.006026506423950195,0.1359996795654297
8,6,0.005999565124511719,0.14796733856201172
8,7,0.00799870491027832,0.1419682502746582
8,8,0.009031057357788086,0.1329655647277832
9,1,0.0019996166229248047,0.1569678783416748
9,2,0.0040073394775390625,0.18495941162109375
9,3,0.004998445510864258,0.23299765586853027
9,4,0.005998134613037109,0.1609973907470703
9,5,0.006028890609741211,0.3459630012512207
9,6,0.007997989654541016,0.26799678802490234
9,7,0.00999903678894043,0.3549935817718506
9,8,0.009998321533203125,0.1979975700378418
10,1,0.0019989013671875,0.4899885654449463
10,2,0.003998756408691406,0.6119899749755859
10,3,0.006000041961669922,0.2879970073699951
10,4,0.0070285797119140625,0.34296536445617676
10,5,0.007998228073120117,0.6089901924133301
10,6,0.009000062942504883,0.6959905624389648
10,7,0.010998010635375977,1.053980827331543
10,8,0.012999534606933594,1.376976490020752
11,1,0.002998828887939453,2.171966552734375
11,2,0.0039997100830078125,8.180860757827759
11,3,0.0070002079010009766,1.5379738807678223
11,4,0.00800013542175293,1.3549771308898926
11,5,0.0319981575012207,1.2279794216156006
11,6,0.011998176574707031,1.190981388092041
11,7,0.012999296188354492,4.089931011199951
11,8,0.015000104904174805,7.220630645751953
12,1,0.004000186920166016,4.178927421569824
12,2,0.006999969482421875,16.427834510803223
12,3,0.009999990463256836,8.530855417251587
12,4,0.009999990463256836,7.9119791984558105
12,5,0.01299905776977539,8.349857568740845
12,6,0.014999628067016602,3.870933771133423
12,7,0.017998933792114258,13.771765232086182
12,8,0.019999265670776367,18.582683563232422
13,1,0.004000186920166016,4.869916677474976
13,2,0.006998538970947266,153.37091374397278
13,3,0.008998632431030273,4.212014675140381
13,4,0.012999773025512695,13.064777612686157
13,5,0.015000104904174805,19.747663497924805
13,6,0.017000436782836914,18.876677751541138
13,7,0.019998550415039062,31.575838565826416
13,8,0.02299952507019043,57.85616660118103
14,1,0.0039997100830078125,8.090862035751343
14,2,0.008999347686767578,1079.34574842453
14,3,0.010999917984008789,29.109503984451294
14,4,0.014998912811279297,32.28845024108887
